"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10u","LIB_T491A106K010AT:T491A",""
"2","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15","14","100n","LIB_08051C104K4Z2A:CAPC2012X140N",""
"3","C16","1","10n","C0603C103K4RECTU:CAPC17595_87N_KEM",""
"4","C17, C18","2","1u","LIB_GRMMDXR60J105ME05D:CAPC0502X28N",""
"5","C19, C20","2","12 pF","LIB_C0402C120F5GAC7867:CAPC1005X55N",""
"6","C23","1","1uF","LIB_GRMMDXR60J105ME05D:CAPC0502X28N",""
"7","C24","1","1 uF","LIB_GRMMDXR60J105ME05D:CAPC0502X28N",""
"8","FB1","1","120R","LIB_BLM15PX121BH1D:NFZ15SG152SN10B",""
"9","IC1","1","STM32F407ZGT6","LIB_STM32F407ZGT6:QFP50P2200X2200X160-144N",""
"10","IC2","1","SPX3819M5-L-3-3_TR","LIB_SPX3819M5-L-3-3_TR:SOT95P280X145-5N",""
"11","J1","1","STLINKV2 PINS (2.54mm Pitch)","LIB_47053-1000:470531000",""
"12","J2","1","Motor Driver Pins (2.54mm Pitch)","LIB_47053-1000:470531000",""
"13","J3","1","12401948E412A","12401948E412A:AMPHENOL_12401948E412A",""
"14","J4","1","Conn_01x02","LIB_22-12-2024:22122024",""
"15","J5","1","Screw_Terminal_01x02","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",""
"16","R1","1","10k","RC0402FR-0710KL:RESC1005X40N",""
"17","R3","1","60 Ohm","LIB_CRCW120660R0KNEAIF:RESC3216X60N",""
"18","R9, R10","2","5K1","LIB_ERA-3VEB5101V:ERA3KV__0603_",""
"19","SW1","1","SW_SPDT","1101M2S3CQE2:1101M2S3CQE2",""
"20","Y1","1","EB2532YA12-25.000M_TR","LIB_EB2532YA12-25.000M_TR:EB2532YA1225000MTR",""
